input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd,status,error_message,protein_atom_count,ligand_atom_count,clash_count,clash_score,min_distance,min_clash_distance,clash_max,pass_clash,weighted_direction,clash_method,neighbor_search_cutoff
11,GAC_11,GAC_11_complex.pdb,GAC,11,GAC.AF2rank11.pdb,GAC.AF2rank11,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank11.pdb,results/GAC/02_template_guided_docking/complexes/GAC_11_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.5747312446600477,2.098603667050909,2.098603667050909,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
12,GAC_12,GAC_12_complex.pdb,GAC,12,GAC.AF2rank12.pdb,GAC.AF2rank12,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank12.pdb,results/GAC/02_template_guided_docking/complexes/GAC_12_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,9,1.728349974607259,2.118092883756172,2.118092883756172,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
13,GAC_13,GAC_13_complex.pdb,GAC,13,GAC.AF2rank13.pdb,GAC.AF2rank13,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank13.pdb,results/GAC/02_template_guided_docking/complexes/GAC_13_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.646448331257579,2.238725874427821,2.238725874427821,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
14,GAC_14,GAC_14_complex.pdb,GAC,14,GAC.AF2rank14.pdb,GAC.AF2rank14,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank14.pdb,results/GAC/02_template_guided_docking/complexes/GAC_14_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.3360452472978968,2.1997004196335523,2.1997004196335523,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
15,GAC_15,GAC_15_complex.pdb,GAC,15,GAC.AF2rank15.pdb,GAC.AF2rank15,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank15.pdb,results/GAC/02_template_guided_docking/complexes/GAC_15_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.80978802035614,2.1401248930288763,2.1401248930288763,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
16,GAC_16,GAC_16_complex.pdb,GAC,16,GAC.AF2rank16.pdb,GAC.AF2rank16,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank16.pdb,results/GAC/02_template_guided_docking/complexes/GAC_16_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,2.0098075933483264,2.095882260943233,2.095882260943233,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
17,GAC_17,GAC_17_complex.pdb,GAC,17,GAC.AF2rank17.pdb,GAC.AF2rank17,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank17.pdb,results/GAC/02_template_guided_docking/complexes/GAC_17_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.4348345553972068,2.26004854000945,2.26004854000945,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
18,GAC_18,GAC_18_complex.pdb,GAC,18,GAC.AF2rank18.pdb,GAC.AF2rank18,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank18.pdb,results/GAC/02_template_guided_docking/complexes/GAC_18_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.2860958064021992,2.163070403355372,2.163070403355372,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
19,GAC_19,GAC_19_complex.pdb,GAC,19,GAC.AF2rank19.pdb,GAC.AF2rank19,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank19.pdb,results/GAC/02_template_guided_docking/complexes/GAC_19_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,6,1.8715325471404727,2.09624484123103,2.09624484123103,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
20,GAC_20,GAC_20_complex.pdb,GAC,20,GAC.AF2rank20.pdb,GAC.AF2rank20,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank20.pdb,results/GAC/02_template_guided_docking/complexes/GAC_20_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.3984429735039483,2.1350486836346216,2.1350486836346216,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
21,GAC_21,GAC_21_complex.pdb,GAC,21,GAC.AF2rank21.pdb,GAC.AF2rank21,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank21.pdb,results/GAC/02_template_guided_docking/complexes/GAC_21_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.5031744196716605,2.179109316611283,2.179109316611283,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
22,GAC_22,GAC_22_complex.pdb,GAC,22,GAC.AF2rank22.pdb,GAC.AF2rank22,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank22.pdb,results/GAC/02_template_guided_docking/complexes/GAC_22_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.7411624006357407,2.007965766548677,2.007965766548677,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
23,GAC_23,GAC_23_complex.pdb,GAC,23,GAC.AF2rank23.pdb,GAC.AF2rank23,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank23.pdb,results/GAC/02_template_guided_docking/complexes/GAC_23_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,4,1.0864825873705888,2.2250363283159698,2.2250363283159698,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
24,GAC_24,GAC_24_complex.pdb,GAC,24,GAC.AF2rank24.pdb,GAC.AF2rank24,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank24.pdb,results/GAC/02_template_guided_docking/complexes/GAC_24_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.941514610207192,2.0958362666291523,2.0958362666291523,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
25,GAC_25,GAC_25_complex.pdb,GAC,25,GAC.AF2rank25.pdb,GAC.AF2rank25,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank25.pdb,results/GAC/02_template_guided_docking/complexes/GAC_25_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.2624588160337038,2.2867965228202562,2.2867965228202562,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
26,GAC_26,GAC_26_complex.pdb,GAC,26,GAC.AF2rank26.pdb,GAC.AF2rank26,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank26.pdb,results/GAC/02_template_guided_docking/complexes/GAC_26_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,5,1.591352330988331,2.0995399244675137,2.0995399244675137,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
27,GAC_27,GAC_27_complex.pdb,GAC,27,GAC.AF2rank27.pdb,GAC.AF2rank27,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank27.pdb,results/GAC/02_template_guided_docking/complexes/GAC_27_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.8213167470856813,2.129968073601179,2.129968073601179,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
28,GAC_28,GAC_28_complex.pdb,GAC,28,GAC.AF2rank28.pdb,GAC.AF2rank28,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank28.pdb,results/GAC/02_template_guided_docking/complexes/GAC_28_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,6,1.3085588976394171,2.1922778035810095,2.1922778035810095,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
29,GAC_29,GAC_29_complex.pdb,GAC,29,GAC.AF2rank29.pdb,GAC.AF2rank29,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank29.pdb,results/GAC/02_template_guided_docking/complexes/GAC_29_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,10,2.028047741737355,2.139765140088779,2.139765140088779,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
30,GAC_30,GAC_30_complex.pdb,GAC,30,GAC.AF2rank30.pdb,GAC.AF2rank30,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank30.pdb,results/GAC/02_template_guided_docking/complexes/GAC_30_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,failed,,2315,10,11,2.5101048315730723,2.041621370792932,2.041621370792932,10,False,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
31,GAC_31,GAC_31_complex.pdb,GAC,31,GAC.AF2rank31.pdb,GAC.AF2rank31,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank31.pdb,results/GAC/02_template_guided_docking/complexes/GAC_31_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.862472364246743,2.0955869797040294,2.0955869797040294,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0
