input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,status,error_message,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,template_chain_count,target_chain_count,template_ca_count,target_ca_count,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd
11,GAC_11,GAC_11_complex.pdb,GAC,11,GAC.AF2rank11.pdb,GAC.AF2rank11,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank11.pdb,results/GAC/02_template_guided_docking/complexes/GAC_11_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
12,GAC_12,GAC_12_complex.pdb,GAC,12,GAC.AF2rank12.pdb,GAC.AF2rank12,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank12.pdb,results/GAC/02_template_guided_docking/complexes/GAC_12_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
13,GAC_13,GAC_13_complex.pdb,GAC,13,GAC.AF2rank13.pdb,GAC.AF2rank13,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank13.pdb,results/GAC/02_template_guided_docking/complexes/GAC_13_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
14,GAC_14,GAC_14_complex.pdb,GAC,14,GAC.AF2rank14.pdb,GAC.AF2rank14,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank14.pdb,results/GAC/02_template_guided_docking/complexes/GAC_14_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
15,GAC_15,GAC_15_complex.pdb,GAC,15,GAC.AF2rank15.pdb,GAC.AF2rank15,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank15.pdb,results/GAC/02_template_guided_docking/complexes/GAC_15_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
16,GAC_16,GAC_16_complex.pdb,GAC,16,GAC.AF2rank16.pdb,GAC.AF2rank16,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank16.pdb,results/GAC/02_template_guided_docking/complexes/GAC_16_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
17,GAC_17,GAC_17_complex.pdb,GAC,17,GAC.AF2rank17.pdb,GAC.AF2rank17,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank17.pdb,results/GAC/02_template_guided_docking/complexes/GAC_17_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
18,GAC_18,GAC_18_complex.pdb,GAC,18,GAC.AF2rank18.pdb,GAC.AF2rank18,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank18.pdb,results/GAC/02_template_guided_docking/complexes/GAC_18_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
19,GAC_19,GAC_19_complex.pdb,GAC,19,GAC.AF2rank19.pdb,GAC.AF2rank19,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank19.pdb,results/GAC/02_template_guided_docking/complexes/GAC_19_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
20,GAC_20,GAC_20_complex.pdb,GAC,20,GAC.AF2rank20.pdb,GAC.AF2rank20,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank20.pdb,results/GAC/02_template_guided_docking/complexes/GAC_20_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
21,GAC_21,GAC_21_complex.pdb,GAC,21,GAC.AF2rank21.pdb,GAC.AF2rank21,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank21.pdb,results/GAC/02_template_guided_docking/complexes/GAC_21_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
22,GAC_22,GAC_22_complex.pdb,GAC,22,GAC.AF2rank22.pdb,GAC.AF2rank22,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank22.pdb,results/GAC/02_template_guided_docking/complexes/GAC_22_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
23,GAC_23,GAC_23_complex.pdb,GAC,23,GAC.AF2rank23.pdb,GAC.AF2rank23,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank23.pdb,results/GAC/02_template_guided_docking/complexes/GAC_23_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
24,GAC_24,GAC_24_complex.pdb,GAC,24,GAC.AF2rank24.pdb,GAC.AF2rank24,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank24.pdb,results/GAC/02_template_guided_docking/complexes/GAC_24_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
25,GAC_25,GAC_25_complex.pdb,GAC,25,GAC.AF2rank25.pdb,GAC.AF2rank25,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank25.pdb,results/GAC/02_template_guided_docking/complexes/GAC_25_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
26,GAC_26,GAC_26_complex.pdb,GAC,26,GAC.AF2rank26.pdb,GAC.AF2rank26,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank26.pdb,results/GAC/02_template_guided_docking/complexes/GAC_26_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
27,GAC_27,GAC_27_complex.pdb,GAC,27,GAC.AF2rank27.pdb,GAC.AF2rank27,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank27.pdb,results/GAC/02_template_guided_docking/complexes/GAC_27_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
28,GAC_28,GAC_28_complex.pdb,GAC,28,GAC.AF2rank28.pdb,GAC.AF2rank28,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank28.pdb,results/GAC/02_template_guided_docking/complexes/GAC_28_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
29,GAC_29,GAC_29_complex.pdb,GAC,29,GAC.AF2rank29.pdb,GAC.AF2rank29,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank29.pdb,results/GAC/02_template_guided_docking/complexes/GAC_29_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
30,GAC_30,GAC_30_complex.pdb,GAC,30,GAC.AF2rank30.pdb,GAC.AF2rank30,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank30.pdb,results/GAC/02_template_guided_docking/complexes/GAC_30_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
31,GAC_31,GAC_31_complex.pdb,GAC,31,GAC.AF2rank31.pdb,GAC.AF2rank31,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank31.pdb,results/GAC/02_template_guided_docking/complexes/GAC_31_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
32,GAC_32,GAC_32_complex.pdb,GAC,32,GAC.AF2rank32.pdb,GAC.AF2rank32,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank32.pdb,results/GAC/02_template_guided_docking/complexes/GAC_32_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
33,GAC_33,GAC_33_complex.pdb,GAC,33,GAC.AF2rank33.pdb,GAC.AF2rank33,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank33.pdb,results/GAC/02_template_guided_docking/complexes/GAC_33_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
34,GAC_34,GAC_34_complex.pdb,GAC,34,GAC.AF2rank34.pdb,GAC.AF2rank34,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank34.pdb,results/GAC/02_template_guided_docking/complexes/GAC_34_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
35,GAC_35,GAC_35_complex.pdb,GAC,35,GAC.AF2rank35.pdb,GAC.AF2rank35,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank35.pdb,results/GAC/02_template_guided_docking/complexes/GAC_35_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
36,GAC_36,GAC_36_complex.pdb,GAC,36,GAC.AF2rank36.pdb,GAC.AF2rank36,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank36.pdb,results/GAC/02_template_guided_docking/complexes/GAC_36_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,ok,,standard,dock_py_exact,False,different_ordered_sequence,1,1,302,302,302,0.0,0.0,
