input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd,status,error_message,protein_atom_count,ligand_atom_count,clash_count,clash_score,min_distance,min_clash_distance,clash_max,pass_clash,weighted_direction,clash_method,neighbor_search_cutoff,radius_angstrom,catalytic_residue_count,catalytic_mean_plddt,catalytic_median_plddt,catalytic_p10_plddt,catalytic_min_plddt,catalytic_max_plddt,mean_plddt_min,p10_plddt_min,pass_catalytic_region_plddt,plddt_pdb_path
12,GAC_12,GAC_12_complex.pdb,GAC,12,GAC.AF2rank12.pdb,GAC.AF2rank12,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank12.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_12_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,9,1.728349974607259,2.118092883756172,2.118092883756172,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,20,92.21499999999999,94.72,87.67699999999999,53.53,98.38,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_12_complex.pdb
13,GAC_13,GAC_13_complex.pdb,GAC,13,GAC.AF2rank13.pdb,GAC.AF2rank13,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank13.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_13_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.646448331257579,2.238725874427821,2.238725874427821,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,19,92.20210526315789,95.06,87.376,58.91,98.06,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_13_complex.pdb
14,GAC_14,GAC_14_complex.pdb,GAC,14,GAC.AF2rank14.pdb,GAC.AF2rank14,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank14.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_14_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.3360452472978968,2.1997004196335523,2.1997004196335523,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,20,92.53999999999999,95.185,87.558,62.0,97.94,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_14_complex.pdb
15,GAC_15,GAC_15_complex.pdb,GAC,15,GAC.AF2rank15.pdb,GAC.AF2rank15,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank15.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_15_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.80978802035614,2.1401248930288763,2.1401248930288763,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,21,92.54,95.06,88.0,62.59,98.19,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_15_complex.pdb
16,GAC_16,GAC_16_complex.pdb,GAC,16,GAC.AF2rank16.pdb,GAC.AF2rank16,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank16.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_16_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,2.0098075933483264,2.095882260943233,2.095882260943233,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,21,92.50857142857141,95.38,88.5,58.38,98.12,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_16_complex.pdb
17,GAC_17,GAC_17_complex.pdb,GAC,17,GAC.AF2rank17.pdb,GAC.AF2rank17,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank17.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_17_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.4348345553972068,2.26004854000945,2.26004854000945,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,20,92.9,95.81,87.67099999999999,58.75,98.25,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_17_complex.pdb
18,GAC_18,GAC_18_complex.pdb,GAC,18,GAC.AF2rank18.pdb,GAC.AF2rank18,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank18.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_18_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,7,1.2860958064021992,2.163070403355372,2.163070403355372,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,19,92.2057894736842,95.38,86.21000000000001,60.16,98.0,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_18_complex.pdb
19,GAC_19,GAC_19_complex.pdb,GAC,19,GAC.AF2rank19.pdb,GAC.AF2rank19,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank19.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_19_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,6,1.871532547140473,2.09624484123103,2.09624484123103,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,20,92.062,95.125,85.934,55.31,98.06,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_19_complex.pdb
20,GAC_20,GAC_20_complex.pdb,GAC,20,GAC.AF2rank20.pdb,GAC.AF2rank20,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank20.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_20_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.3984429735039483,2.1350486836346216,2.1350486836346216,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,21,92.64142857142858,95.75,88.69,52.59,98.25,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_20_complex.pdb
21,GAC_21,GAC_21_complex.pdb,GAC,21,GAC.AF2rank21.pdb,GAC.AF2rank21,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_21_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.5031744196716603,2.179109316611283,2.179109316611283,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,20,93.476,95.905,88.67699999999999,61.41,98.44,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_21_complex.pdb
22,GAC_22,GAC_22_complex.pdb,GAC,22,GAC.AF2rank22.pdb,GAC.AF2rank22,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank22.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_22_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,8,1.741162400635741,2.007965766548677,2.007965766548677,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,21,91.54095238095239,94.12,89.25,55.06,98.25,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_22_complex.pdb
23,GAC_23,GAC_23_complex.pdb,GAC,23,GAC.AF2rank23.pdb,GAC.AF2rank23,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/01_af2_new/GAC.AF2rank23.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_23_complex.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,results/GAC/02_template_guided_docking/tables/GAC_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph-test5/data/GAC/02_templates/ligand.pdb,GLC,untrimmed_input,1,10,standard,dock_py_exact,False,different_ordered_sequence,302,0.0,0.0,,passed,,2315,10,4,1.0864825873705888,2.2250363283159698,2.2250363283159698,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,21,92.11857142857144,95.0,86.06,54.72,98.06,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph-test5/results/GAC/02_template_guided_docking/complexes/GAC_23_complex.pdb
