input_order,standard_structure_id,output_complex_basename,output_pdb_code,output_rank_token,source_pdb_basename,source_pdb_stem,source_pdb,complex_pdb_path,template_protein_pdb_path,ligand_pdb_path,ligand_order_manifest_path,active_ligand_pdb_order,input_ligand_resname_order,ligand_input_branch,ligand_pdb_count,n_ligand_atoms,workflow_profile,docking_alignment_mode,legacy_compatible,compatibility_reason,matched_ca_count,sequence_identity,alignment_coverage,alignment_rmsd,status,error_message,protein_atom_count,ligand_atom_count,clash_count,clash_score,min_distance,min_clash_distance,clash_max,pass_clash,weighted_direction,clash_method,neighbor_search_cutoff,radius_angstrom,catalytic_residue_count,catalytic_mean_plddt,catalytic_median_plddt,catalytic_p10_plddt,catalytic_min_plddt,catalytic_max_plddt,mean_plddt_min,p10_plddt_min,pass_catalytic_region_plddt,plddt_pdb_path
12,PTP1B_12,PTP1B_12_complex.pdb,PTP1B,12,PTP1B.AF2rank12.pdb,PTP1B.AF2rank12,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank12.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_12_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,3,0.6925065679904958,2.1697543899611227,2.1697543899611227,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.90470588235294,96.25,88.352,76.5,97.94,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_12_complex.pdb
13,PTP1B_13,PTP1B_13_complex.pdb,PTP1B,13,PTP1B.AF2rank13.pdb,PTP1B.AF2rank13,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank13.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_13_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,3,0.7942951098130857,2.1176017774801053,2.1176017774801053,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.82705882352941,95.75,88.626,76.19,97.81,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_13_complex.pdb
14,PTP1B_14,PTP1B_14_complex.pdb,PTP1B,14,PTP1B.AF2rank14.pdb,PTP1B.AF2rank14,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank14.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_14_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,7,2.027913082628586,2.074294574824608,2.074294574824608,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.01411764705881,95.5,85.712,72.81,98.06,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_14_complex.pdb
15,PTP1B_15,PTP1B_15_complex.pdb,PTP1B,15,PTP1B.AF2rank15.pdb,PTP1B.AF2rank15,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank15.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_15_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,5,0.8941603888095391,2.2023670207656054,2.2023670207656054,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.77941176470588,95.81,88.462,76.5,97.69,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_15_complex.pdb
16,PTP1B_16,PTP1B_16_complex.pdb,PTP1B,16,PTP1B.AF2rank16.pdb,PTP1B.AF2rank16,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank16.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_16_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,4,1.0336310909846378,2.225500966283873,2.225500966283873,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,94.0070588235294,95.88,87.888,80.62,98.0,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_16_complex.pdb
17,PTP1B_17,PTP1B_17_complex.pdb,PTP1B,17,PTP1B.AF2rank17.pdb,PTP1B.AF2rank17,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank17.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_17_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,9,1.9032895202010784,2.258322743416973,2.258322743416973,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,16,94.39750000000001,95.75,93.465,74.5,97.81,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_17_complex.pdb
18,PTP1B_18,PTP1B_18_complex.pdb,PTP1B,18,PTP1B.AF2rank18.pdb,PTP1B.AF2rank18,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank18.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_18_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,9,2.275647726037931,2.012175242218905,2.012175242218905,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,16,93.145,94.75,91.25,73.25,97.38,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_18_complex.pdb
19,PTP1B_19,PTP1B_19_complex.pdb,PTP1B,19,PTP1B.AF2rank19.pdb,PTP1B.AF2rank19,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank19.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_19_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,2.102064170526749,2.10096788463725,2.10096788463725,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,94.27058823529413,96.06,89.224,80.12,98.0,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_19_complex.pdb
20,PTP1B_20,PTP1B_20_complex.pdb,PTP1B,20,PTP1B.AF2rank20.pdb,PTP1B.AF2rank20,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank20.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_20_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,5,0.9938029821434936,2.141881385293775,2.141881385293775,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.43411764705883,95.75,87.26,74.94,97.94,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_20_complex.pdb
21,PTP1B_21,PTP1B_21_complex.pdb,PTP1B,21,PTP1B.AF2rank21.pdb,PTP1B.AF2rank21,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank21.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_21_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,6,1.768989165473008,2.1541280311320694,2.1541280311320694,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.73470588235296,95.81,87.372,80.0,97.88,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_21_complex.pdb
22,PTP1B_22,PTP1B_22_complex.pdb,PTP1B,22,PTP1B.AF2rank22.pdb,PTP1B.AF2rank22,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank22.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_22_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,4,1.2788033969069854,2.1694480242529384,2.1694480242529384,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.91117647058825,95.94,87.976,78.75,98.12,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_22_complex.pdb
23,PTP1B_23,PTP1B_23_complex.pdb,PTP1B,23,PTP1B.AF2rank23.pdb,PTP1B.AF2rank23,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/01_af2_new/PTP1B.AF2rank23.pdb,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_23_complex.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/template.pdb,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,results/PTP1B/02_template_guided_docking/tables/PTP1B_step02_ligand_order_manifest.csv,/home/wms/AF2-test/AF2-CatGraph/data/PTP1B/02_templates/ligand.pdb,LIG,untrimmed_input,1,17,standard,dock_py_exact,True,single_chain_same_length_same_ordered_sequence,299,1.0,1.0,,passed,,2442,17,7,1.6574944814836927,2.092689494385666,2.092689494385666,10,True,"(0.0, 0.0, 0.0)",collision_py_exact,5.0,6.0,17,93.1164705882353,95.25,87.376,74.81,97.75,90.0,80.0,True,/home/wms/AF2-test/AF2-CatGraph/results/PTP1B/02_template_guided_docking/complexes/PTP1B_23_complex.pdb
